AvgCyclomatic,AvgEssential,CountDeclClassMethodRatio,CountDeclClassVariableRatio,CountDeclInstanceMethodRatio,CountDeclMethodPrivateRatio,CountDeclMethodProtectedRatio,CountDeclMethodPublicRatio,CountLine,CountLineBlankRatio,CountLineCodeDeclRatio,MaxCyclomatic,RatioCommentToCode,AvgCountClassBase,AvgCountClassCoupled,AvgCountClassDerived,MaxInheritanceTree,AvgPercentLackOfCohesion,AvgCountInput,AvgCountOutput,AvgCountPath,MaxNesting,Bug
3.0,1.0,5.0,1.0,0.6153846153846154,0.3076923076923077,0.0,0.6923076923076923,325.0,0.1415384615384615,0.2553846153846154,10.0,0.32,2.0,40.0,0.0,1.0,86.0,4.307692307692308,6.538461538461538,3.1538461538461537,2.0,0
1.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,52.0,0.1923076923076923,0.25,1.0,0.91,2.0,3.0,0.0,1.0,66.0,3.0,4.333333333333333,1.0,0.0,0
1.0,1.0,1.0,0.5,0.8571428571428571,0.2857142857142857,0.0,0.5714285714285714,174.0,0.132183908045977,0.2241379310344827,2.0,0.89,1.0,8.5,0.0,1.0,43.5,5.142857142857143,2.7857142857142856,1.0,0.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,115.0,0.1739130434782608,0.2434782608695652,3.0,0.36,2.0,6.0,0.0,2.0,0.0,7.277777777777778,2.2222222222222223,1.1111111111111112,1.0,0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,42.0,0.1666666666666666,0.1904761904761904,2.0,1.06,1.0,2.0,0.0,3.0,0.0,1.0,1.6666666666666667,1.3333333333333333,1.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.1428571428571428,0.7142857142857143,67.0,0.1641791044776119,0.2835820895522388,2.0,0.56,2.0,6.0,0.0,3.0,71.0,1.5714285714285714,2.142857142857143,1.0,0.0,0
2.0,1.0,7.5,3.5,0.1666666666666666,0.1666666666666666,0.0,0.7777777777777778,396.0,0.1035353535353535,0.2727272727272727,16.0,0.22,1.0,36.0,0.0,1.0,92.0,21.75,5.1875,7.125,3.0,0
2.0,1.0,0.0,0.0,1.0,0.25,0.0,0.75,116.0,0.1206896551724138,0.396551724137931,4.0,0.2,1.0,26.0,2.0,2.0,89.0,9.75,5.75,3.0,1.0,0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,33.0,0.1515151515151515,0.2424242424242424,1.0,1.55,1.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0
1.0,1.0,0.0,0.5,1.0,0.05,0.0,0.95,197.0,0.116751269035533,0.3604060913705584,4.0,0.2,2.0,10.5,0.0,1.0,35.0,2.6,2.9,1.65,2.0,0
1.0,1.0,0.0,0.0909090909090909,1.0,0.15,0.1,0.65,519.0,0.140655105973025,0.3564547206165703,6.0,0.08,0.9333333333333332,8.533333333333333,0.7333333333333333,2.0,12.933333333333334,4.175,4.0,1.625,3.0,0
5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,332.0,0.0602409638554216,0.1385542168674698,54.0,0.14,1.0,11.0,0.0,2.0,63.0,3.0,2.1818181818181817,10.545454545454543,4.0,0
1.0,1.0,0.0,1.0,1.0,0.25,0.0,0.75,77.0,0.1298701298701298,0.2467532467532467,2.0,0.76,1.0,11.0,0.0,1.0,50.0,2.25,4.5,1.5,1.0,0
2.0,1.0,4.0,1.0,0.8095238095238095,0.1904761904761904,0.2857142857142857,0.4761904761904761,332.0,0.0753012048192771,0.2951807228915662,7.0,0.36,1.0,36.0,0.0,2.0,89.0,5.571428571428571,4.285714285714286,3.523809523809524,2.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,0.1020408163265306,0.1224489795918367,0.0,5.29,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0
0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,1.0,37.0,0.1081081081081081,0.2162162162162162,2.0,1.06,1.0,6.0,0.0,1.0,0.0,6.0,3.0,2.0,1.0,0
2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,48.0,0.0833333333333333,0.2291666666666666,2.0,0.83,1.0,5.0,0.0,1.0,50.0,8.0,4.0,2.0,1.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,52.0,0.1538461538461538,0.1923076923076923,1.0,1.65,1.0,3.0,0.0,2.0,0.0,52.0,1.0,1.0,0.0,0
